family,setting,frame,outcome,rmse,rmse_mcse,mean_bias,mean_absolute_bias,n
classic_factor,NN=200;a=0,aug-d-balance,MCPanel,0.07372003119539813,0.0035350964643741075,0.001985666768837748,0.060055240078733564,200
classic_factor,NN=200;a=0,aug-d-balance,VAR,0.1532208317610916,0.006829490583786427,0.018420551175515585,0.123641682609215,200
classic_factor,NN=200;a=0,aug-d-balance,fe,0.07452201149471371,0.0034613230172894863,0.0009622562407449852,0.06065033504457741,200
classic_factor,NN=200;a=0,aug-d-balance,gsynth,0.07361304081103119,0.003876409920956681,-0.0025183231153524128,0.0591574566282579,200
classic_factor,NN=200;a=0,aug-d-balance,ife,0.11981262471342906,0.024731484051128766,-0.010643148484945053,0.07340397490151719,200
classic_factor,NN=200;a=0,aug-d-balance (individual),MCPanel,0.07133244408909883,0.0032338142700824887,0.0036307379741614813,0.058883342891328266,200
classic_factor,NN=200;a=0,aug-d-balance (individual),VAR,0.14708726554608606,0.0066836588111639,0.018706379269773324,0.1180761176150239,200
classic_factor,NN=200;a=0,aug-d-balance (individual),fe,0.07136208707004045,0.003082756793876279,0.0024118132636018856,0.05914408098967268,200
classic_factor,NN=200;a=0,aug-d-balance (individual),gsynth,0.07114962465740243,0.003481858503833813,-0.0005502696743562846,0.05791112084187207,200
classic_factor,NN=200;a=0,aug-d-balance (individual),ife,0.11764963018580805,0.024344057451109402,-0.008740701641345107,0.07249400565597794,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),MCPanel,0.08825970111778073,0.0041600553229351215,0.012149751134889315,0.0708060124694382,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),VAR,0.1386543848952521,0.006713918700867765,0.01889213796986075,0.11019765134990311,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),fe,0.07135281988281375,0.003082157157534421,0.0024133642393913907,0.05913697667652582,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),gsynth,0.05603465480226606,0.00260487014692075,-1.1195529537978422e-05,0.04535546906840526,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),ife,0.10869885172558287,0.025767277526528173,-0.008497592030412435,0.06035012682132462,200
classic_factor,NN=200;a=0,aug-d-balance (residual),MCPanel,0.0842897373398638,0.004053058546788043,0.011604011981768959,0.06735253361946207,200
classic_factor,NN=200;a=0,aug-d-balance (residual),VAR,0.13323808216592606,0.006455978103989746,0.018142830147124776,0.10598971646256211,200
classic_factor,NN=200;a=0,aug-d-balance (residual),fe,0.07449947315074162,0.0034602650040296704,0.0009579610153173751,0.06063287372901792,200
classic_factor,NN=200;a=0,aug-d-balance (residual),gsynth,0.05639714880650937,0.0026227423193624826,-0.0005177121823409265,0.04571670790516222,200
classic_factor,NN=200;a=0,aug-d-balance (residual),ife,0.10905518742799544,0.025752836127725262,-0.008907945264888322,0.06084970999193071,200
classic_factor,NN=200;a=0,d-balance,fe,0.07452201149471367,0.0034613230172894837,0.0009622562407449902,0.060650335044577404,200
classic_factor,NN=200;a=0,outcome,MCPanel,0.09325260082452469,0.004524853545515277,0.01219359191626225,0.07396320113680391,200
classic_factor,NN=200;a=0,outcome,VAR,0.16360057361267302,0.007972555363784542,0.02315071289611172,0.12904262843997588,200
classic_factor,NN=200;a=0,outcome,fe,0.4535907927054513,0.020302407721750643,0.06051287316761127,0.3653326224934618,200
classic_factor,NN=200;a=0,outcome,gsynth,0.05577114926122462,0.0026770727134629293,-0.00039766110979122136,0.04517374972387699,200
classic_factor,NN=200;a=0,outcome,ife,0.1086460198804487,0.02591280267754246,-0.008802006012157653,0.06018931584715631,200
classic_factor,NN=200;a=0,u-balance,fe,0.06724252314584574,0.003117310214883846,0.007365922915459391,0.05394807375176255,200
classic_factor,NN=200;a=1,aug-d-balance,MCPanel,1.7377767327505125,0.03414141087965092,1.6775680838230034,1.6775680838230034,200
classic_factor,NN=200;a=1,aug-d-balance,VAR,1.1319383435043133,0.029478524305927765,1.0492380464408095,1.0562627673038745,200
classic_factor,NN=200;a=1,aug-d-balance,fe,0.677445398392318,0.016176878861287467,0.6444526318004523,0.6444526318004523,200
classic_factor,NN=200;a=1,aug-d-balance,gsynth,0.15633545319016542,0.007264482891749337,0.06351699578664056,0.1259429337446533,200
classic_factor,NN=200;a=1,aug-d-balance,ife,1.818507224916736,0.09657354416557552,1.264792041965783,1.2865276070233136,200
classic_factor,NN=200;a=1,aug-d-balance (individual),MCPanel,1.6980571859917812,0.034549022825019565,1.634694809555131,1.634694809555131,200
classic_factor,NN=200;a=1,aug-d-balance (individual),VAR,1.1428933381521782,0.029883906232399293,1.0592027429260913,1.065436750871048,200
classic_factor,NN=200;a=1,aug-d-balance (individual),fe,0.5881672996449807,0.017043432833118613,0.5428471101513155,0.5428471101513155,200
classic_factor,NN=200;a=1,aug-d-balance (individual),gsynth,0.18036838952417805,0.007285494927684003,0.0761094366408323,0.1490608390573816,200
classic_factor,NN=200;a=1,aug-d-balance (individual),ife,1.824696105914215,0.09646699842159871,1.2768955811297318,1.3033196925238446,200
classic_factor,NN=200;a=1,aug-d-balance (residual individual),MCPanel,2.506288706122943,0.03544567707785993,2.460100669617852,2.460100669617852,200
classic_factor,NN=200;a=1,aug-d-balance (residual individual),VAR,1.3082354291876737,0.02903374848382388,1.2461655523494024,1.24932831423271,200
classic_factor,NN=200;a=1,aug-d-balance (residual individual),fe,0.5854684252038517,0.0170784088056829,0.5395326169442869,0.5395326169442869,200
classic_factor,NN=200;a=1,aug-d-balance (residual individual),gsynth,0.09096672985179204,0.00511458122955292,0.012208353969715029,0.07174516081460183,200
classic_factor,NN=200;a=1,aug-d-balance (residual individual),ife,1.7910739235179394,0.0974701737528509,1.2181501214372994,1.2434779086441339,200
classic_factor,NN=200;a=1,aug-d-balance (residual),MCPanel,2.386161707888105,0.03420447266636268,2.34102401441578,2.34102401441578,200
classic_factor,NN=200;a=1,aug-d-balance (residual),VAR,1.23783375540935,0.02833434036531762,1.1754718526456887,1.1785712526132988,200
classic_factor,NN=200;a=1,aug-d-balance (residual),fe,0.670820716728099,0.01616930233571589,0.6374659642683818,0.6374659642683818,200
classic_factor,NN=200;a=1,aug-d-balance (residual),gsynth,0.09196324020432035,0.005262911142504456,0.012423520130473436,0.07225159302940815,200
classic_factor,NN=200;a=1,aug-d-balance (residual),ife,1.791090308850492,0.09742114905241708,1.21840978031982,1.243929620879183,200
classic_factor,NN=200;a=1,d-balance,fe,0.6774453983923181,0.01617687886128747,0.6444526318004524,0.6444526318004524,200
classic_factor,NN=200;a=1,outcome,MCPanel,2.532404311623362,0.03518554299343771,2.487162225317092,2.487162225317092,200
classic_factor,NN=200;a=1,outcome,VAR,1.550827997174202,0.032457918458704035,1.4853202127285443,1.4880014099534866,200
classic_factor,NN=200;a=1,outcome,fe,6.857488990454288,0.03399313151082622,6.840622606651312,6.840622606651312,200
classic_factor,NN=200;a=1,outcome,gsynth,0.09085940923449855,0.0052022262586269,0.011438861273644074,0.07184948322278667,200
classic_factor,NN=200;a=1,outcome,ife,1.7907786982764378,0.09747977413224043,1.217852758059098,1.2433770065916845,200
classic_factor,NN=200;a=1,u-balance,fe,2.47214586178786,0.034999891865189495,2.4232990038829776,2.4232990038829776,200
mixed_factor,NN=200;a=0,aug-d-balance,MCPanel,0.08785296739408316,0.005764774381166509,-0.001780651175220741,0.06699269382215155,200
mixed_factor,NN=200;a=0,aug-d-balance,VAR,0.2222424272271695,0.012695339396733845,-0.009596564235184317,0.17247970111756367,200
mixed_factor,NN=200;a=0,aug-d-balance,fe,0.08714314487464872,0.005590061248166323,-0.0024436927552885933,0.06668081064495146,200
mixed_factor,NN=200;a=0,aug-d-balance,gsynth,0.07005666507687397,0.0036508213582331574,0.0008008641835400882,0.05604991345922996,200
mixed_factor,NN=200;a=0,aug-d-balance,ife,0.06968346493116079,0.003606170128481672,0.0009251906394055298,0.05582267111349482,200
