family,setting,frame,outcome,r_rmse,r_rmse_mcse,python_rmse,python_rmse_mcse,difference,relative_difference,combined_mcse,standardized_difference,within_three_mcse,n_r,n_python
classic_factor,NN=200;a=0,aug-d-balance,MCPanel,0.0747298130132782,0.00339332724062395,0.07372003119539813,0.0035350964643741075,-0.0010097818178800705,-0.013512436030057369,0.004900160892704531,-0.2060711556192892,True,200,200
classic_factor,NN=200;a=0,aug-d-balance,VAR,0.142364965316842,0.00803763122977338,0.1532208317610916,0.006829490583786427,0.010855866444249601,0.07625377788762285,0.010547296213715428,1.0292558608653577,True,200,200
classic_factor,NN=200;a=0,aug-d-balance,fe,0.0762779263967247,0.00348995547101688,0.07452201149471371,0.0034613230172894863,-0.001755914902010991,-0.023019961146798926,0.004915337854074595,-0.35723178225794106,True,200,200
classic_factor,NN=200;a=0,aug-d-balance,gsynth,0.0746130965543328,0.0034320419083427,0.07361304081103119,0.003876409920956681,-0.0010000557433016144,-0.013403219937043891,0.005177399495491147,-0.1931579249722829,True,200,200
classic_factor,NN=200;a=0,aug-d-balance,ife,0.0938890182520936,0.00916829213699529,0.11981262471342906,0.024731484051128766,0.025923606461335458,0.27610903749925403,0.026376199197013322,0.9828408660286008,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (individual),MCPanel,0.0723556263298134,0.00325403225186567,0.07133244408909883,0.0032338142700824887,-0.0010231822407145708,-0.01414101836463516,0.0045876225465453346,-0.22303104284049444,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (individual),VAR,0.137834615467442,0.00770473862988674,0.14708726554608606,0.0066836588111639,0.009252650078644065,0.06712863853006243,0.01019972021473716,0.9071474397185217,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (individual),fe,0.0740928790031568,0.00336585140103821,0.07136208707004045,0.003082756793876279,-0.0027307919331163444,-0.03685633450685587,0.004564246389499721,-0.5983007270156732,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (individual),gsynth,0.071488959283316,0.0033022644565972,0.07114962465740243,0.003481858503833813,-0.00033933462591356767,-0.004746671784222786,0.004798779968077828,-0.07071268701021305,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (individual),ife,0.09102396928744,0.00920776866318037,0.11764963018580805,0.024344057451109402,0.026625660898368056,0.2925126327361997,0.026027219154907074,1.022992919062894,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),MCPanel,0.0840313690953817,0.0040992920230512,0.08825970111778073,0.0041600553229351215,0.004228332022399028,0.05031849496108489,0.005840398563465685,0.7239800463018301,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),VAR,0.12617337144364,0.00660274690664076,0.1386543848952521,0.006713918700867765,0.012481013451612094,0.09891955258710988,0.009416632680264003,1.3254221413744451,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),fe,0.0740856215873438,0.0033654369750598,0.07135281988281375,0.003082157157534421,-0.0027328017045300523,-0.03688707263268615,0.004563535775781792,-0.5988342896384742,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),gsynth,0.0549022296727083,0.00271496895555865,0.05603465480226606,0.00260487014692075,0.0011324251295577598,0.020626213840649974,0.0037624998221881894,0.3009767928438507,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual individual),ife,0.0771400692954363,0.0110285412517839,0.10869885172558287,0.025767277526528173,0.031558782430146565,0.40911011253153773,0.028028223512585007,1.1259644199703307,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual),MCPanel,0.0813141686696839,0.00389919321674254,0.0842897373398638,0.004053058546788043,0.0029755686701798956,0.036593483262029186,0.005624143608157836,0.5290705354436229,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual),VAR,0.120729576279495,0.00642051481930566,0.13323808216592606,0.006455978103989746,0.012508505886431057,0.10360763511232111,0.009105089995388218,1.3737926690199316,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual),fe,0.0762601844672023,0.00348924082122383,0.07449947315074162,0.0034602650040296704,-0.0017607113164606752,-0.023088212135362923,0.004914085408965457,-0.35829888370445534,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual),gsynth,0.0552153352661451,0.00271338503209465,0.05639714880650937,0.0026227423193624826,0.001181813540364264,0.021403719359264394,0.003773756166761464,0.3131663753936876,True,200,200
classic_factor,NN=200;a=0,aug-d-balance (residual),ife,0.0772576803525344,0.0109126786775623,0.10905518742799544,0.025752836127725262,0.03179750707546104,0.41157729471511295,0.027969539226472686,1.1368620275791048,True,200,200
classic_factor,NN=200;a=0,d-balance,fe,0.076277926396759,0.00348995547099565,0.07452201149471367,0.0034613230172894837,-0.0017559149020453246,-0.023019961147238692,0.00491533785405952,-0.3572317822660217,True,200,200
classic_factor,NN=200;a=0,outcome,MCPanel,0.0875723390446454,0.00434815812809834,0.09325260082452469,0.004524853545515277,0.005680261779879292,0.06486365263103716,0.006275410641170012,0.9051617662458248,True,200,200
classic_factor,NN=200;a=0,outcome,VAR,0.147811148486045,0.00831320346113884,0.16360057361267302,0.007972555363784542,0.01578942512662801,0.10682161182259337,0.011518289404894308,1.3708133709436774,True,200,200
classic_factor,NN=200;a=0,outcome,fe,0.417777580209507,0.0214090083152518,0.4535907927054513,0.020302407721750643,0.03581321249594427,0.08572315555560608,0.029504802936856245,1.2138095811922134,True,200,200
classic_factor,NN=200;a=0,outcome,gsynth,0.0542569108162915,0.00268703033105756,0.05577114926122462,0.0026770727134629293,0.0015142384449331192,0.027908674160609326,0.0037930001731071765,0.399219186877251,True,200,200
